Table 2.4.5U. Personal Consumption Expenditures by Type of Product
Table 2.4.5U. Personal Consumption Expenditures by Type of Product
"Last Revised on: October 27, 2023 - Next Release Date November 30, 2023"
13,"                Used autos",44910,46426,35127,25333,42900,46063,46119,45962,44151,43742,43913,42911,46270,43971,59236,62256,59643,58788,54661,57546,59965,63927,62352,62231,59439,56866,59200,61377,60885,58837,56902,57914,55070,54797,54048,52863,58063,58644,58705,59920,59500,56692,55981,56788,57111
14,"                    Net transactions in used autos",11967,12374,9477,6960,11472,12270,12259,12182,11674,11514,11491,11164,11914,11272,14961,15649,14985,14777,13793,14545,15211,16291,16029,16153,15619,15112,15854,16551,16535,16088,15652,15987,15273,15236,15058,14749,16154,16311,16327,16655,16542,15783,15591,15809,15896
15,"                    Used auto margin",34678,35787,27385,20108,33163,35528,35595,35515,34213,33963,34157,33482,36091,34433,46010,48342,46393,45746,42604,44737,46489,49371,48058,47814,45555,43489,45080,46561,46085,44484,42985,43663,41532,41296,40726,39849,43645,44068,44113,45000,44693,42643,42125,42714,42949
16,"                    Employee reimbursement",-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
17,"                Used light trucks",114691,120324,94177,71390,123370,137626,139997,139232,134054,133908,135599,134912,147895,144555,195690,201968,192168,189317,180248,189959,197033,208498,201597,199580,189784,180599,186966,190192,189420,183444,181542,188856,184246,185175,181542,175953,191657,193830,196294,197714,197257,187907,190103,194612,197666
18,"                    Net transactions in used trucks",76468,80746,63604,48516,84358,94672,96867,96888,93803,94206,95895,95893,105636,103694,140897,145855,139099,137264,130827,137942,143062,151272,146054,144287,136819,129857,134110,136122,135300,130802,129250,134285,130873,131433,128788,124793,135930,137471,139219,140226,139902,133271,134828,138026,140192
19,"                    Used truck margin",38223,39577,30573,22873,39012,42955,43130,42344,40251,39702,39704,39019,42258,40861,54793,56113,53069,52052,49420,52017,53972,57227,55543,55292,52964,50742,52856,54070,54120,52642,52292,54571,53372,53743,52754,51161,55727,56359,57075,57488,57355,54636,55275,56586,57474
20,"            Motor vehicle parts and accessories (58)",86315,86051,74914,70703,88932,95132,93728,94562,94996,92695,92224,93238,96117,94494,108162,108308,106173,105968,104550,104757,104551,106567,107465,108872,111267,111316,111935,113030,113798,113897,113198,114975,116470,115978,115518,115631,117694,118150,115970,119018,120889,122440,122817,122473,123163
21,"                Tires",36315,36222,31794,30081,36534,38967,38569,38962,39026,37721,37131,38014,39263,38526,44790,44026,43088,43095,42942,43073,43012,44189,43978,45242,45826,45507,46277,47055,47680,47841,47359,48326,49044,48641,48974,49317,49355,49329,48593,49628,50691,51215,51408,51027,51265
22,"                Accessories and parts",50000,49829,43120,40622,52398,56165,55159,55600,55970,54974,55093,55224,56854,55968,63372,64282,63085,62873,61608,61684,61539,62378,63487,63630,65441,65809,65659,65975,66118,66057,65840,66649,67426,67337,66545,66314,68339,68820,67377,69391,70198,71225,71409,71446,71898
23,"        Furnishings and durable household equipment",360022,359970,334345,284325,353514,396733,402140,408631,412751,411494,407365,410634,437664,417689,460015,460606,446954,451518,441339,448032,451188,458950,461526,455893,467900,468758,475888,480003,477604,478413,479807,483866,482839,484887,474946,474201,492695,482916,473516,472234,475133,478864,480437,480075,481416
24,"            Furniture and furnishings (parts of 31 and 32)",209845,208917,185199,142437,190941,226084,230324,235062,238343,237933,235817,238897,255658,243018,266247,266890,259983,262034,256623,261565,262459,266679,268967,264371,270657,271207,275146,278595,277090,277928,278716,280842,279794,281499,276577,275602,289594,280481,275438,273653,274589,278627,279219,278079,279241
25,"                Furniture",122304,120962,107114,79234,112500,135831,136951,137874,140349,139267,138482,140960,153367,144168,156571,157592,152887,152989,149837,154045,153670,156776,156636,154616,156825,158915,159660,162554,161963,163661,163170,163108,162825,163804,161860,160286,169671,161943,159518,156763,157644,162095,162435,161793,162419
26,"                Clocks, lamps, lighting fixtures, and other household decorative items",44960,44921,35708,25612,35204,44179,45673,47213,47802,47980,47194,47014,49945,47830,53300,53067,51758,53445,52314,52923,53628,54127,54507,53620,54582,55062,56389,56441,56419,56148,56359,57351,57537,57462,56235,56160,58014,57211,56380,56881,56825,56868,57141,56065,56683
27,"                Carpets and other floor coverings",21358,21577,21041,17536,20194,21815,22579,24385,24151,24213,24205,24925,25538,24755,27121,26835,27153,27278,27048,26516,26886,26973,28001,27012,28445,27438,28252,28857,27979,26942,27723,28191,27674,28531,27147,27576,29833,29252,28441,28356,28223,27585,27472,27862,27757
28,"                Window coverings",21223,21457,21335,20056,23043,24259,25120,25589,26040,26473,25936,25998,26808,26266,29254,29396,28185,28323,27424,28080,28275,28803,29822,29123,30805,29792,30844,30744,30730,31178,31464,32192,31758,31702,31335,31580,32077,32073,31099,31653,31897,32079,32171,32359,32382
29,"            Household appliances (part of 33)",64375,64873,62481,58508,67943,72766,73455,74500,74847,75326,73336,73173,79093,75753,85196,84880,81271,83271,80605,80817,82380,84229,82846,82023,85016,85698,87243,87496,86410,86196,86029,86915,86601,86748,83521,83342,86327,85673,83745,83474,84440,84274,84725,85399,85549
30,"                Major household appliances",56789,57234,54922,51394,59786,64228,64763,65717,65886,66350,64429,64202,69706,66727,75330,74994,71540,73272,70921,70862,72376,74015,72618,71878,74540,75312,76757,76945,75816,75608,75344,76129,75735,75948,72848,72561,75304,74646,72892,72538,73412,73223,73544,74220,74290
31,"                Small electric household appliances",7586,7639,7559,7114,8157,8538,8692,8783,8961,8976,8906,8971,9387,9025,9867,9886,9731,9999,9684,9955,10004,10214,10228,10145,10476,10386,10485,10550,10594,10588,10686,10786,10866,10801,10672,10781,11023,11027,10854,10936,11028,11051,11181,11179,11258
32,"            Glassware, tableware, and household utensils (34)",41901,42119,42195,38076,43020,45793,46741,46962,47346,47364,47027,46986,49409,47333,50818,51073,50078,50724,49856,50940,51066,52111,52242,51900,53479,53064,53669,54051,54205,54463,54716,55298,55697,55475,55130,55222,56336,56235,55175,55793,56128,56339,56599,56389,56702
33,"                Dishes and flatware",21255,21365,21402,19312,21819,23225,23705,23816,24011,24020,23849,23828,25058,24005,25773,25903,25398,25726,25286,25836,25900,26430,26496,26323,27124,26913,27220,27413,27492,27622,27751,28045,28248,28135,27960,28007,28572,28521,27983,28297,28467,28573,28705,28599,28758
34,"                Nonelectric cookware and tableware",20645,20754,20793,18764,21201,22568,23036,23146,23335,23344,23178,23157,24351,23328,25045,25170,24680,24998,24570,25104,25166,25681,25745,25577,26356,26151,26449,26637,26714,26841,26966,27252,27449,27340,27169,27215,27764,27714,27192,27496,27662,27765,27893,27790,27944
35,"            Tools and equipment for house and garden (35)",43901,44060,44470,45304,51610,52090,51620,52107,52215,50871,51186,51578,53505,51585,57754,57763,55621,55489,54256,54710,55284,55931,57471,57600,58747,58789,59830,59862,59899,59826,60345,60812,60746,61165,59718,60036,60438,60527,59158,59314,59976,59624,59894,60208,59925
36,"                Tools, hardware, and supplies",36858,37008,37290,38011,43426,43812,43435,43871,43923,42763,43028,43354,44901,43211,48394,48472,46690,46503,45431,45769,46296,46767,48124,48210,49211,49178,50050,50107,50102,50042,50447,50890,50754,51115,49909,50209,50496,50588,49468,49531,50081,49769,49998,50336,49993
37,"                Outdoor equipment and supplies",7043,7051,7180,7293,8184,8278,8185,8236,8291,8108,8158,8224,8604,8375,9360,9291,8932,8986,8825,8941,8988,9163,9347,9389,9536,9611,9780,9755,9796,9784,9899,9922,9992,10050,9809,9826,9942,9939,9690,9783,9895,9854,9896,9872,9932
38,"        Recreational goods and vehicles",446887,448880,431482,413882,499820,537538,545491,546590,544063,553673,555514,563899,577651,550577,615686,613890,599602,615174,586112,607768,611803,634056,636855,632875,654334,649411,652339,657166,648897,650243,661371,663087,670334,668668,641066,649361,667208,670326,662685,668306,680147,680754,686925,685861,691045
39,"            Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",265038,266322,263617,254046,280459,301494,314748,321059,317603,324454,325472,324681,336206,323155,356014,355301,349873,364897,347820,359381,356703,371414,363848,361631,377735,372903,381300,386133,385570,385158,391859,392206,396148,395202,378658,384300,396677,399897,399857,403796,408675,411034,416231,415587,418515
40,"                Video and audio equipment",69657,69896,64735,51403,56661,66067,70988,71548,71004,73370,72711,71455,76520,73584,82370,82303,81652,84862,82100,82929,81395,85183,81271,80550,83318,83058,85756,87418,86615,86482,87247,87484,87870,88223,82337,83061,88029,88713,88533,88930,89390,89872,90580,89916,90250
41,"                    Televisions",25888,25796,23755,18697,21163,24959,26955,27346,26912,28004,27550,27115,29195,28142,31635,31688,31398,32711,31696,31825,31415,33055,30944,30813,31899,31951,33228,33725,33321,33156,33596,33531,33790,33636,31384,31582,33563,33717,33578,33747,34210,34395,34483,34597,34602
42,"                    Other video equipment",9960,9779,8310,5152,6064,8055,9043,9136,8813,9302,8999,8647,9427,9066,10394,10332,10274,10647,10328,10204,9960,10674,9645,9631,9911,10008,10643,10844,10645,10521,10692,10617,10689,10637,9580,9631,10536,10600,10577,10585,10740,10792,10748,10787,10728
43,"                    Audio equipment",22020,21783,20491,16716,18456,20838,22137,22384,22170,22936,22773,22557,24137,23256,25921,26081,25903,26824,26124,26341,25992,27213,25819,25764,26602,26566,27487,27894,27651,27589,27945,27923,28181,28059,26512,26702,28081,28225,28054,28267,28636,28794,28905,28961,28990
44,"                    Recording media",11788,12538,12179,10838,10978,12215,12852,12682,13109,13127,13390,13136,13761,13120,14420,14201,14076,14681,13952,14559,14029,14240,14863,14343,14906,14533,14398,14955,14997,15216,15015,15413,15210,15891,14861,15146,15848,16171,16324,16331,15805,15891,16445,15571,15931
45,"                        Audio discs, tapes, vinyl, and permanent digital downloads",2239,2936,2130,1348,837,1802,2287,2186,2557,2520,2792,2524,2553,2434,2911,2596,2691,3170,2616,2998,2494,2433,3168,2640,2897,2560,2273,2661,2670,2784,2493,2825,2496,3225,2364,2603,3038,3325,3667,3519,2863,2886,3323,2441,2732
46,"                        Video discs, tapes, and permanent digital downloads",9549,9602,10050,9490,10141,10413,10565,10495,10552,10607,10597,10613,11209,10686,11509,11605,11385,11510,11336,11561,11535,11808,11695,11703,12009,11973,12126,12294,12327,12432,12522,12588,12715,12666,12498,12544,12809,12846,12657,12812,12942,13005,13122,13129,13198
47,"                Photographic equipment",3465,3459,3362,3009,3322,3642,3829,3883,3839,3939,3926,3900,4100,3939,4354,4361,4307,4464,4306,4391,4349,4541,4375,4362,4529,4500,4631,4694,4672,4666,4738,4737,4785,4764,4541,4589,4776,4806,4787,4830,4894,4922,4960,4966,4984
48,"                Information processing equipment",191916,192968,195520,199634,220476,231784,239931,245629,242760,247145,248834,249326,255586,245632,269290,268638,263915,275571,261415,272061,270958,281691,278201,276718,289888,285345,290913,294021,294283,294010,299874,299985,303493,302215,291780,296650,303872,306378,306536,310036,314390,316240,320691,320705,323281
49,"                    Personal computers/tablets and peripheral equipment",59892,60063,59766,58149,64223,68681,71609,73138,72216,73814,74032,73918,76436,73482,80913,80802,79553,82941,79067,81697,81177,84604,82728,82342,86033,84950,86959,87976,87851,87714,89360,89352,90349,89963,86325,87612,90330,91026,90982,91931,93214,93755,94865,94910,95524
50,"                    Computer software and accessories",131682,132568,135425,141205,155945,162779,167991,172160,170206,172991,174465,175069,178800,171808,188007,187465,183994,192257,181985,189992,189411,196709,195099,194010,203482,200018,203570,205658,206046,205909,210113,210242,212755,211857,205068,208644,213141,214951,215159,217708,220776,222084,225423,225393,227355
51,"                    Calculators, typewriters, and other information processing equipment",341,336,329,280,308,324,331,331,337,341,337,338,350,343,369,371,367,372,362,372,370,378,374,367,373,376,383,387,386,388,401,390,389,395,387,394,401,401,396,397,400,401,404,402,402
52,"            Sporting equipment, supplies, guns, and ammunition (part of 80)",78434,78470,80081,78141,96685,105176,103767,100394,103711,102913,102872,104446,109569,102095,116142,114897,110698,110705,106753,110936,110786,112716,117504,115499,116225,116176,117157,118478,117969,118838,120433,119996,121433,121846,119937,121453,122383,121763,121367,123147,123791,123597,126720,125584,126482
53,"            Sports and recreational vehicles (79)",75312,75643,61821,57379,95092,101053,96555,94717,92317,95621,95820,102918,99970,94724,110004,110442,105910,104293,97821,103207,109783,114661,120262,120506,125048,124640,118069,115463,108607,109496,111877,113312,114959,114153,105228,105253,109911,110051,102609,102563,108308,106659,104361,105870,106923
54,"                Motorcycles",15284,14694,12923,13596,19703,18734,17919,18512,17964,18723,18813,19072,18968,18933,21452,21223,19812,20230,19647,20017,20322,21296,20958,21783,23559,24290,22224,21225,20740,21311,21980,22285,21622,21957,21190,20616,21543,21419,20039,21107,20878,20568,20369,20655,20880
55,"                Bicycles and accessories",5014,4926,4680,3857,5750,6838,6577,6029,6517,6416,6330,6458,7063,6365,7704,7548,7204,6959,6773,6980,6925,6967,7505,7252,6994,7093,7156,7252,7139,7204,7282,7232,7275,7360,7226,7315,7341,7226,7212,7304,7280,7200,7468,7352,7362
56,"                Pleasure boats, aircraft, and other recreational vehicles",55014,56024,44218,39926,69639,75482,72058,70177,67835,70482,70677,77388,73939,69425,80849,81671,78894,77105,71400,76210,82536,86398,91799,91472,94495,93257,88689,86986,80729,80981,82614,83795,86062,84835,76812,77322,81028,81406,75358,74152,80150,78891,76524,77863,78680
57,"                    Pleasure boats",19782,21386,17337,15079,25010,27763,27285,25569,25462,26007,25839,28338,26359,25468,28952,29389,27004,26133,24546,24249,27373,29756,31124,31977,32801,31301,29978,28316,25223,26201,27251,28241,28080,30126,26382,25961,28763,29198,27240,26782,30926,31302,29768,30529,30848
58,"                    Pleasure aircraft",2126,2020,1681,1717,2706,2546,2402,2484,2394,2519,2522,2558,2536,2559,2934,2897,2673,2713,2658,2679,2729,2874,2803,2949,3211,3354,2997,2820,2732,2827,2924,2974,2850,2910,2792,2678,2831,2803,2567,2736,2685,2627,2576,2626,2653
59,"                    Other recreational vehicles",33107,32617,25200,23129,41922,45172,42371,42124,39979,41956,42316,46492,45043,41399,48963,49385,49217,48259,44197,49281,52434,53769,57872,56546,58484,58602,55714,55850,52774,51953,52440,52581,55132,51800,47638,48683,49434,49405,45551,44633,46539,44962,44180,44708,45179
60,"            Recreational books (part of 90)",22103,22437,20963,19822,21974,23518,23976,24190,24097,24089,24654,25075,24999,24048,25955,25650,25646,27550,26351,26864,26879,27621,27756,27715,27768,28012,28112,29082,28651,28875,29349,29546,29818,29591,29253,29960,29892,30289,30494,30465,30755,30876,30994,30160,30419
61,"            Musical instruments (part of 80)",6000,6008,5000,4495,5611,6297,6445,6230,6336,6595,6697,6778,6908,6556,7571,7600,7475,7729,7366,7381,7653,7644,7486,7523,7559,7680,7702,8010,8102,7876,7854,8026,7977,7875,7990,8396,8345,8327,8358,8335,8619,8588,8618,8659,8706
62,"        Other durable goods",207732,205107,165535,117459,153209,193266,209946,214936,220575,221607,219578,224064,227514,222968,248597,246383,249619,256017,251095,253314,254636,262301,264749,256997,257272,262818,267604,269298,262452,266829,267597,267771,268258,266558,263086,262704,272727,268529,265269,267587,269498,270278,271014,270956,271902
63,"            Jewelry and watches (part of 119)",72159,70161,52472,33402,49685,69301,75211,77857,80496,78813,79014,81838,82326,81937,93948,91171,94160,95936,94135,95893,97055,100993,103980,98834,97697,101513,103820,103467,97567,101366,99990,98202,98066,96784,95440,94530,99894,95231,95076,95781,96699,96757,95946,95972,96151
64,"                Jewelry",59525,57932,43398,28038,41276,57188,62049,64250,66529,65202,65348,67595,67976,67617,77322,75167,77505,79059,77516,78949,79950,83109,85535,81399,80618,83632,85533,85229,80597,83611,82524,81175,81082,80096,79001,78288,82627,78944,78795,79362,80116,80182,79589,79655,79810
65,"                Watches",12635,12229,9074,5364,8409,12113,13163,13608,13968,13612,13665,14243,14350,14320,16626,16004,16655,16877,16619,16944,17105,17884,18445,17435,17079,17882,18287,18238,16970,17754,17465,17027,16984,16687,16439,16242,17268,16286,16281,16420,16583,16575,16357,16317,16341
66,"            Therapeutic appliances and equipment (42)",69869,69566,58453,41482,52734,64429,72061,72965,73114,75438,73570,74848,75356,73118,79395,79422,79451,80541,79333,79535,79342,80968,81314,79579,79246,80445,81174,82285,81663,82430,83997,85013,85090,84941,84797,84938,86986,87538,85162,86727,87103,87476,88458,88459,89144
67,"                Therapeutic medical equipment",31961,32408,29836,26719,29438,31586,34777,35043,34359,35282,35070,35282,35744,34594,37460,37416,36641,37627,37273,37971,37702,38631,38948,38545,39575,39616,40131,40320,40505,40876,41419,42495,42290,42478,42570,42524,43876,44675,43837,44746,44848,45124,45802,45844,46213
68,"                Corrective eyeglasses and contact lenses",37907,37158,28617,14763,23296,32843,37284,37922,38755,40157,38500,39566,39612,38525,41935,42006,42810,42915,42059,41564,41640,42336,42366,41035,39671,40829,41043,41965,41158,41554,42579,42518,42800,42463,42227,42414,43110,42863,41326,41981,42255,42352,42656,42615,42931
69,"            Educational books (96)",7344,7550,6012,4203,4946,6139,6438,6406,6444,6445,6728,6956,6874,6705,7307,7186,7482,8426,8210,8003,7976,8180,8095,8116,7605,7995,7982,8529,8142,8245,8336,8436,8471,8367,8296,8566,8454,8625,8769,8582,8618,8630,8480,7929,7959
70,"            Luggage and similar personal items (part of 119)",31889,31702,23797,18040,23733,28955,30341,31644,34479,33874,33611,34010,34697,33928,37700,37926,38163,39917,38770,39111,39838,40414,41117,40364,41682,41884,42556,42549,42866,42553,42650,43309,43705,43604,43151,43077,44312,43891,43453,43410,43600,43647,44301,44653,44711
71,"            Telephone and related communication equipment",26471,26128,24800,20332,22112,24443,25895,26064,26042,27036,26656,26412,28262,27279,30247,30678,30363,31197,30646,30772,30425,31746,30243,30104,31042,30981,32072,32469,32214,32234,32624,32811,32925,32862,31403,31592,33081,33244,32809,33087,33479,33769,33830,33943,33937
72,"    Nondurable goods",3053506,3051207,3134375,2730172,2947369,3095222,3140765,3135343,3196003,3170423,3157124,3199250,3281580,3229826,3440040,3464469,3445444,3524009,3494173,3557142,3578164,3633916,3670157,3683752,3701423,3740007,3834190,3841511,3882779,3950315,3898351,3898420,3914284,3942154,3922156,3891591,3934469,3960567,3921903,3955407,3941926,3955880,3979925,4031122,4051341
73,"        Food and beverages purchased for off-premises consumption",1094609,1099538,1316968,1178192,1217825,1209640,1217875,1200797,1205248,1200354,1208827,1208467,1246049,1230981,1265146,1275762,1271370,1282846,1276253,1306289,1309454,1323917,1329712,1334344,1350762,1350076,1360911,1370587,1381722,1393650,1398086,1408613,1421011,1428364,1431413,1426883,1431300,1436267,1424290,1430257,1435851,1436188,1445518,1446867,1453074
74,"            Food and nonalcoholic beverages purchased for off-premises consumption (4)",927476,931696,1120956,996031,1023861,1015633,1022379,1004797,1009953,1006996,1014407,1015170,1046073,1033568,1061996,1072363,1069841,1079237,1077444,1102818,1105483,1118307,1122119,1127001,1141259,1138934,1149727,1158751,1169246,1179250,1183302,1192551,1203192,1208838,1212564,1209054,1210262,1216367,1206191,1209786,1213984,1215010,1222916,1224894,1229873
75,"                Food purchased for off-premises consumption",821338,824835,999848,891290,915461,906210,910891,894744,898828,895149,902693,903181,929293,918567,942165,950811,948932,957696,955088,978828,981526,992014,995314,999662,1012939,1010474,1019372,1027314,1036876,1045432,1049290,1057732,1066995,1072436,1075776,1072205,1072969,1078116,1069930,1072785,1076599,1077056,1084765,1085594,1090201
76,"                    Cereals and bakery products",146675,146817,175621,157565,162744,160853,161721,159513,159930,159401,160770,161642,166324,164121,169142,170369,170298,172197,171613,175895,176250,178317,179259,179887,182872,182408,184066,185747,187354,189085,189700,190946,193080,193955,193899,193397,193677,194745,193231,193768,194598,194927,196475,196526,197461
77,"                        Cereals",54442,54777,66572,61534,63589,62969,63258,62372,62283,61900,62446,62299,63599,62450,64281,64519,63989,64756,63793,65890,66126,67084,67405,67642,69039,68655,69242,69816,70539,71053,71570,72059,72745,73041,73050,73111,73171,73574,73208,73541,73862,73903,74654,74684,75117
78,"                        Bakery products",92233,92040,109049,96031,99155,97884,98463,97140,97647,97500,98324,99343,102725,101671,104860,105850,106309,107442,107821,110005,110124,111232,111854,112244,113833,113753,114824,115931,116815,118032,118130,118887,120334,120915,120849,120286,120506,121171,120022,120227,120736,121024,121821,121842,122344
79,"                    Meats and poultry",179750,180932,226202,199385,203444,200603,201168,196630,197289,196220,198286,197495,202681,201526,204678,206782,206880,208711,208613,213734,214637,216106,216710,217729,220413,219976,221731,223106,225225,226997,227710,229746,231463,232997,233883,232534,232291,233291,231941,231758,232737,232602,234012,234202,235040
80,"                        Beef and veal",49410,49920,62597,55393,56730,56086,56242,54809,54851,54417,54846,54473,55740,55281,55987,56428,56293,56661,56558,57960,58245,58632,58855,59140,59929,59823,60314,60701,61284,61798,62007,62568,63015,63416,63638,63249,63183,63441,63068,62987,63298,63270,63633,63684,63911
81,"                        Pork",36727,37106,46528,41173,42166,41687,41803,40738,40769,40446,40765,40488,41430,41089,41614,41942,41842,42115,42039,43081,43292,43580,43746,43957,44544,44465,44830,45118,45551,45933,46089,46505,46838,47136,47301,47012,46963,47155,46877,46817,47048,47027,47297,47335,47503
82,"                        Other meats",34747,34433,42500,36826,36963,36012,36119,35786,36321,36527,37334,37636,39105,39296,40378,41186,41680,42433,42635,43642,43709,44043,43992,44176,44542,44418,44732,44971,45378,45643,45742,46133,46538,46893,47129,46920,46870,47113,46859,46913,46979,46928,47272,47312,47486
83,"                        Poultry",58866,59473,74576,65993,67585,66818,67004,65297,65348,64830,65341,64897,66406,65860,66700,67226,67065,67503,67381,69052,69391,69851,70117,70457,71397,71270,71855,72316,73011,73623,73873,74541,75073,75552,75816,75353,75274,75581,75137,75041,75411,75377,75810,75871,76140
84,"                    Fish and seafood",16647,16852,21049,18641,19610,19566,19684,19276,19430,19210,19312,19365,19716,19743,20041,20144,20113,20386,20251,20740,20673,20748,20977,20999,21095,21008,21270,21332,21607,21583,21672,22104,22129,22249,22200,22034,22003,22036,21755,21861,21959,21838,22069,21979,22056
85,"                    Milk, dairy products, and eggs",91547,91641,113417,99533,101093,99667,100032,97967,98365,97870,98861,98642,101574,100815,102811,103845,103889,104637,104684,107249,107589,108612,108665,109281,110431,110313,111266,112108,113252,114171,114485,115425,116391,117176,117718,117165,117124,117667,116867,117058,117234,117122,117947,118066,118507
86,"                        Fresh milk",24023,24113,29918,26346,26831,26514,26597,25955,25985,25766,25954,25818,26523,26227,26668,26858,26782,26881,26861,27530,27629,27905,27928,28103,28417,28406,28657,28894,29204,29461,29546,29787,30039,30231,30369,30225,30214,30345,30130,30181,30227,30196,30408,30436,30550
87,"                        Processed dairy products",54355,54310,67100,58747,59554,58620,58857,57785,58138,57982,58681,58673,60513,60211,61527,62266,62428,63022,63099,64629,64816,65412,65430,65773,66437,66337,66901,67377,68040,68562,68744,69310,69887,70374,70703,70373,70349,70689,70223,70334,70438,70375,70872,70948,71212
